fid,Zonizzazione,classificazione,etichetta_studio,superfici km2,ID,Macro_aree,etichetta_macroarea
607,Edifici da riconvertire,,E2,27.0420986823738,607,Costruito,E
608,Edifici da riconvertire,,E2,25.2727216854692,608,Costruito,E
609,Edifici da riconvertire,,E2,87.2438992727548,609,Costruito,E
610,Edifici da riconvertire,,E2,16.7231204072013,610,Costruito,E
611,Edifici da riconvertire,,E2,20.663028832525,611,Costruito,E
612,Edifici da riconvertire,,E2,182.722208164632,612,Costruito,E
613,Edifici da riconvertire,,E2,40.4377875793725,613,Costruito,E
614,Edifici da riconvertire,,E2,109.966426401399,614,Costruito,E
662,Formazioni boschive,C1,C1,822.692396295723,662,Formazioni boschive: Macchia; Gariga; Prateria,C
663,Formazioni boschive,C1,C1,1097.24093508162,663,Formazioni boschive: Macchia; Gariga; Prateria,C
672,Formazioni boschive,C1,C1,323.827284673607,672,Formazioni boschive: Macchia; Gariga; Prateria,C
674,Formazioni boschive,C1,C1,72.6189005579217,674,Formazioni boschive: Macchia; Gariga; Prateria,C
675,Formazioni boschive,C1,C1,928.034767646939,675,Formazioni boschive: Macchia; Gariga; Prateria,C
676,Formazioni boschive,C1,C1,493.337448403239,676,Formazioni boschive: Macchia; Gariga; Prateria,C
736,Formazioni boschive,C1,C1,15224.8636762279,736,Formazioni boschive: Macchia; Gariga; Prateria,C
737,Formazioni boschive,C1,C1,14071.7286016754,737,Formazioni boschive: Macchia; Gariga; Prateria,C
738,Edifici da riconvertire,,E2,36.3546793255955,738,Costruito,E
739,Edifici da riconvertire,,E2,49.0412088152952,739,Costruito,E
740,Edifici da riconvertire,,E2,26.1753691658378,740,Costruito,E
741,Edifici da riconvertire,,E2,422.265864351415,741,Costruito,E
742,Edifici da riconvertire,,E2,253.615973804146,742,Costruito,E
743,Edifici da riconvertire,,E2,172.353416041355,743,Costruito,E
796,Formazioni boschive,C1,C1,313.131355743855,796,Formazioni boschive: Macchia; Gariga; Prateria,C
799,Formazioni boschive,C1,C1,96.4274669918814,799,Formazioni boschive: Macchia; Gariga; Prateria,C
800,Formazioni boschive,C1,C1,318.379932254553,800,Formazioni boschive: Macchia; Gariga; Prateria,C
805,Aree archeologiche,,E0,255.046623680217,805,Costruito,E
806,Formazioni boschive,C1,C1,11832.9742103741,806,Formazioni boschive: Macchia; Gariga; Prateria,C
807,Formazioni boschive,C1,C1,10007.3533927985,807,Formazioni boschive: Macchia; Gariga; Prateria,C
813,Formazioni boschive,C1,C1,1866.0635689199,813,Formazioni boschive: Macchia; Gariga; Prateria,C
842,Formazioni boschive,C1,C1,1751.20134333894,842,Formazioni boschive: Macchia; Gariga; Prateria,C
843,Formazioni boschive,C1,C1,1137.56596975029,843,Formazioni boschive: Macchia; Gariga; Prateria,C
844,Formazioni boschive,C1,C1,557.167719140474,844,Formazioni boschive: Macchia; Gariga; Prateria,C
852,Formazioni boschive,C1,C1,78.5578209012747,852,Formazioni boschive: Macchia; Gariga; Prateria,C
853,Formazioni boschive,C1,C1,367.603042387404,853,Formazioni boschive: Macchia; Gariga; Prateria,C
1138,Vivaio comunale,G,G,6901.99784448557,1138,Vivaio comunale,G
